City,Location,Cuisine,Ratings,No. of Reviews
0,3,10,4,8865
0,3,5,4,8865
0,3,13,4,8865
0,11,7,4.3,289
0,11,15,4.3,289
0,11,5,4.3,289
0,0,15,4.1,725
0,0,7,4.1,725
0,0,5,4.1,725
0,0,33,4.1,725
0,9,6,4.2,139
0,9,29,4.2,139
0,5,15,4.3,2923
0,5,5,4.3,2923
0,5,7,4.3,2923
0,5,34,4.3,2923
0,0,29,4.3,5881
0,0,40,4.3,5881
0,5,29,4.1,3237
0,5,29,4.1,331
0,5,28,4.1,331
0,5,15,4.1,331
0,5,10,4.1,331
0,6,29,3.9,10000
0,6,29,4,1699
0,6,15,4,1699
0,6,26,4.4,7468
0,6,13,4.4,7468
0,1,15,4.3,842
0,1,33,4.3,842
0,1,5,4.3,842
0,1,7,4.3,842
0,1,36,4.3,842
0,1,34,4.3,842
0,1,46,4.3,842
0,11,29,4.2,3485
0,9,40,4.1,2287
0,7,33,4.1,15000
0,7,15,4.1,15000
0,7,5,4.1,15000
0,0,40,4.3,93
0,11,29,4,2555
0,11,10,4,2555
0,11,6,4,2555
0,11,37,4,2555
0,9,33,4.1,2963
0,9,15,4.1,2963
0,9,5,4.1,2963
0,6,29,3.8,8282
0,6,28,3.8,8282
0,6,10,3.8,8282
0,6,37,3.8,8282
0,10,29,4.3,1604
0,9,29,3.9,6596
0,5,29,3.5,6275
0,5,39,3.5,6275
0,5,10,3.5,6275
0,5,12,3.5,6275
0,5,40,3.5,6275
0,5,15,3.5,6275
0,5,13,3.5,6275
0,5,5,3.5,6275
0,7,17,4.3,12000
0,7,15,4.3,12000
0,7,36,4.3,12000
0,7,5,4.3,12000
0,7,38,4.3,12000
0,5,4,4.3,806
0,5,13,4.3,806
0,5,15,4.3,806
0,5,36,4.3,806
0,5,7,4.3,806
0,9,15,3.9,876
0,9,34,3.9,876
0,9,46,3.9,876
0,0,33,4,1142
0,0,15,4,1142
0,0,5,4,1142
0,2,12,4.1,461
0,2,29,4.1,461
0,2,20,4.1,461
0,2,40,4.1,461
0,2,15,4.1,461
0,2,10,4.1,461
0,2,38,4.1,461
0,9,5,4.4,855
0,9,22,4.4,855
0,7,17,4.3,6513
0,7,35,4.3,6513
0,7,29,3.9,4599
0,1,29,3.8,7490
0,1,10,3.8,7490
0,8,33,4.1,11000
0,8,10,4.1,11000
0,8,15,4.1,11000
0,8,5,4.1,11000
0,11,39,3.2,1631
0,11,29,3.2,1631
0,11,10,3.2,1631
0,11,12,3.2,1631
0,9,34,4,11000
0,9,15,4,11000
0,9,5,4,11000
0,5,15,4.4,640
0,5,36,4.4,640
0,5,33,4.4,640
0,5,5,4.4,640
0,5,4,4.4,640
0,5,13,4.4,640
0,9,19,4.3,10000
0,9,13,4.3,10000
0,9,5,4.3,10000
0,9,26,4.2,530
0,9,40,4.2,530
0,3,29,4.4,1154
0,3,40,4.1,394
0,3,29,4.1,394
0,9,29,4,3648
0,9,10,4,3648
0,9,28,4,3648
0,5,17,4.1,285
0,5,35,4.1,285
0,5,13,4.1,285
0,5,36,4.1,285
0,5,11,4.1,285
0,5,5,4.1,285
0,5,32,4.1,285
0,5,38,4.1,285
0,3,29,4,2991
0,3,10,4,2991
0,3,7,4,2991
0,3,36,4,2991
0,3,33,4,2991
0,3,15,4,2991
0,3,5,4,2991
0,0,15,4,5946
0,0,10,4,5946
0,0,29,4,5946
0,0,39,4,5946
0,0,33,4.1,539
0,0,15,4.1,539
0,0,5,4.1,539
0,5,17,3.8,3320
0,5,15,3.8,3320
0,5,35,3.8,3320
0,5,5,3.8,3320
0,4,29,3.6,5345
0,4,10,3.6,5345
0,4,5,3.6,5345
0,9,11,3.8,253
0,9,5,3.8,253
0,9,36,3.8,253
0,9,15,3.8,253
0,9,13,3.8,253
0,1,40,4,2692
0,9,29,4.2,7185
0,9,15,4.2,7185
0,9,39,4.2,7185
0,9,10,4.2,7185
0,9,12,4.2,7185
0,5,15,4.1,1986
0,5,36,4.1,1986
0,5,33,4.1,1986
0,5,7,4.1,1986
0,5,32,4.1,1986
0,5,13,4.1,1986
0,5,5,4.1,1986
0,0,15,4.1,4278
0,0,33,4.1,4278
0,0,5,4.1,4278
0,0,13,4.1,4278
0,0,34,4.1,5666
0,0,15,4.1,5666
0,0,10,4.1,5666
0,5,0,4.1,344
0,5,25,4.1,344
0,5,20,4.1,344
0,5,15,4.1,344
0,5,5,4.1,344
0,5,4,4.1,2621
0,9,40,4.2,3431
0,9,26,4.2,3431
0,0,29,3.6,596
0,9,26,3.8,2423
0,9,40,3.8,2423
0,9,13,3.8,2423
0,6,29,4.2,2450
0,9,26,4.4,2379
0,8,29,4,2365
0,9,29,4,234
